# Images of the six Steane stabilizer generators under the standard H/P/CNOT Clifford generating gates.
gate,gate_kind,source,image_sign,image,signed_image,image_list_rank,image_list_isotropic
CNOT5_6,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT5_6,CNOT,X2,1,1100100|0000000,+1100100|0000000,6,true
CNOT5_6,CNOT,X3,1,1010111|0000000,+1010111|0000000,6,true
CNOT5_6,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT5_6,CNOT,Z2,1,0000000|1100010,+0000000|1100010,6,true
CNOT5_6,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT5_7,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT5_7,CNOT,X2,1,1100111|0000000,+1100111|0000000,6,true
CNOT5_7,CNOT,X3,1,1010100|0000000,+1010100|0000000,6,true
CNOT5_7,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT5_7,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT5_7,CNOT,Z3,1,0000000|1010001,+0000000|1010001,6,true
CNOT6_1,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT6_1,CNOT,X2,1,0100110|0000000,+0100110|0000000,6,true
CNOT6_1,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT6_1,CNOT,Z1,1,0000000|1111010,+0000000|1111010,6,true
CNOT6_1,CNOT,Z2,1,0000000|1100100,+0000000|1100100,6,true
CNOT6_1,CNOT,Z3,1,0000000|1010111,+0000000|1010111,6,true
CNOT6_2,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT6_2,CNOT,X2,1,1000110|0000000,+1000110|0000000,6,true
CNOT6_2,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT6_2,CNOT,Z1,1,0000000|1111010,+0000000|1111010,6,true
CNOT6_2,CNOT,Z2,1,0000000|1100100,+0000000|1100100,6,true
CNOT6_2,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT6_3,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT6_3,CNOT,X2,1,1110110|0000000,+1110110|0000000,6,true
CNOT6_3,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT6_3,CNOT,Z1,1,0000000|1111010,+0000000|1111010,6,true
CNOT6_3,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT6_3,CNOT,Z3,1,0000000|1010111,+0000000|1010111,6,true
CNOT6_4,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT6_4,CNOT,X2,1,1101110|0000000,+1101110|0000000,6,true
CNOT6_4,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT6_4,CNOT,Z1,1,0000000|1111010,+0000000|1111010,6,true
CNOT6_4,CNOT,Z2,1,0000000|1100110,+0000000|1100110,6,true
CNOT6_4,CNOT,Z3,1,0000000|1010101,+0000000|1010101,6,true
CNOT6_5,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
CNOT6_5,CNOT,X2,1,1100010|0000000,+1100010|0000000,6,true
CNOT6_5,CNOT,X3,1,1010101|0000000,+1010101|0000000,6,true
CNOT6_5,CNOT,Z1,1,0000000|1111000,+0000000|1111000,6,true
CNOT6_5,CNOT,Z2,1,0000000|1100100,+0000000|1100100,6,true
CNOT6_5,CNOT,Z3,1,0000000|1010111,+0000000|1010111,6,true
CNOT6_7,CNOT,X1,1,1111000|0000000,+1111000|0000000,6,true
